Accession,Description,Sum_PEP_Score,Coverage,#Peptides,#PSMs,#Protein_Unique_Peptides,#Unique_Peptides,#Protein_Groups,#AAs,MW_kDa,calc_pI,Checked,Protein_FDR_Confidence,Master,emPAI,Razor_Peptides,Score_Mascot,Coverage_Mascot,#Peptides_Mascot,#PSMs_Mascot,TMT126,127N,127C,128N,128C,129N,129C,130N,130C,131N,131C
Q9UPN3,Microtubule-actin cross-linking factor 1  isoforms 1/2/3/5 OS=Homo sapiens OX=9606 GN=MACF1 PE=1 SV=4,1266.599549,36.59989172,252,426,235,235,1,7388,837.787,5.39,FALSE,High,Master Protein,4.551,14,6839.126717,36.59989172,252,426,10198.4,13815.1,17815.8,22049.4,21070.7,18713.5,23278.8,22303.2,22766.2,19202.3,5669.4
Q09666,Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2,1226.186134,65.29711375,223,462,219,220,1,5890,628.699,6.15,FALSE,High,Master Protein,5.863,1,7205.579708,65.29711375,223,462,4405.5,14915.1,23001.4,33379.8,33947.9,26250.9,23500.1,11825.7,7018.7,5257.9,4200.6
P35580,Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3,1115.333395,61.99392713,135,497,100,100,1,1976,228.858,5.54,FALSE,High,Master Protein,221.053,9,8343.251827,61.99392713,135,497,8952.6,20108.2,25164.8,29265.7,27459.1,22846.9,22979.5,12816.2,9136.5,8249.9,14820
Q14789,Golgin subfamily B member 1 OS=Homo sapiens OX=9606 GN=GOLGB1 PE=1 SV=2,1027.467908,59.28198834,187,348,180,180,1,3259,375.79,5,FALSE,High,Master Protein,15.662,7,5129.173066,59.28198834,187,348,4846.6,13122.3,19720.6,22800.3,18265,14655.7,15938.8,11438.8,10332.6,7836.2,4200.8
Q9NU22,Midasin OS=Homo sapiens OX=9606 GN=MDN1 PE=1 SV=2,1010.1896,37.45532523,190,358,188,189,1,5596,632.42,5.68,FALSE,High,Master Protein,6.927,0,5775.964155,37.45532523,190,358,13174.9,7034.2,7741.6,7981.3,8688.6,10692.7,16034.9,20637.8,37833.6,30289,4420.1
Q92805,Golgin subfamily A member 1 OS=Homo sapiens OX=9606 GN=GOLGA1 PE=1 SV=3,794.9911983,73.14211213,61,568,59,59,1,767,88.13,5.27,FALSE,High,Master Protein,4842.789,2,9042.396963,73.14211213,61,568,10302.9,90769.6,65542.6,35784.8,17577.8,11689.7,9748.5,6582.5,5902.7,5224.4,5004.7
Q86UP2,Kinectin OS=Homo sapiens OX=9606 GN=KTN1 PE=1 SV=1,774.2062772,75.23949889,111,310,110,110,1,1357,156.179,5.64,FALSE,High,Master Protein,200.959,1,4728.715998,75.23949889,111,310,5516,9966.6,17663.7,28629,36512.7,31601,29404.8,12118.2,6070.9,4505.9,3284
Q03001,Dystonin OS=Homo sapiens OX=9606 GN=DST PE=1 SV=4,746.5054545,26.92206077,197,280,177,177,1,7570,860.127,5.25,FALSE,High,Master Protein,2.147,5,3326.992443,26.92206077,197,280,8142.2,8213.1,9660.2,11359.4,11026.4,10067.4,11015.9,8407.9,9172.5,8588.7,5045
Q9P2E9,Ribosome-binding protein 1 OS=Homo sapiens OX=9606 GN=RRBP1 PE=1 SV=5,697.3983071,75.03546099,101,276,98,99,1,1410,152.365,8.6,FALSE,High,Master Protein,58.255,1,4321.703984,75.03546099,101,276,4670,7820,13265.1,20820.4,25747.2,21617,20428.2,9490.1,5286.1,3790.4,2539.9
P16615,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1,690.2371783,56.621881,57,426,33,57,1,1042,114.683,5.34,FALSE,High,Master Protein,1466.799,0,7521.983528,56.621881,57,426,8165.8,10562.2,15605.6,23309.9,31522,31973.4,34032.2,15534.1,6901.4,4472.2,3317.2
Q00341,Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2,689.7145979,65.77287066,84,349,81,81,1,1268,141.368,6.87,FALSE,High,Master Protein,161.135,3,5020.473024,65.77287066,84,349,3986.9,6750.4,9960.2,13664.7,16800.6,16740.9,21614.2,21128.7,15385.7,10270.4,3030.1
P12270,Nucleoprotein TPR OS=Homo sapiens OX=9606 GN=TPR PE=1 SV=3,680.8668416,52.05247567,128,232,120,121,1,2363,267.131,5.02,FALSE,High,Master Protein,25.64,5,3589.942095,52.05247567,128,232,19897.5,9222.2,8607.6,7241,6352.3,6732.3,10457.9,12896,17694.2,14053,14310.9
P05023,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens OX=9606 GN=ATP1A1 PE=1 SV=1,678.4212611,55.0342131,63,541,38,39,1,1023,112.824,5.49,FALSE,High,Master Protein,2029.918,36,10349.93557,55.0342131,63,541,4042.2,13868.7,22610.1,35211.6,37762.7,32176.3,33127.3,15829.4,8597,5277.3,3856.3
P46939,Utrophin OS=Homo sapiens OX=9606 GN=UTRN PE=1 SV=2,676.2016948,44.24701427,137,214,128,129,1,3433,394.22,5.33,FALSE,High,Master Protein,6.56,6,3923.058775,44.24701427,137,214,2126.7,6979.5,10832.1,16285.3,17639.8,14056.7,13537.4,6346.1,5042.6,4658.4,3756.9
Q5T4S7,E3 ubiquitin-protein ligase UBR4 OS=Homo sapiens OX=9606 GN=UBR4 PE=1 SV=1,640.3797976,29.38452634,132,210,129,129,1,5183,573.476,6.04,FALSE,High,Master Protein,3.528,3,3215.495287,29.38452634,132,210,2388.1,3471.2,3911.9,4573.5,4678.1,4691.9,5888.9,6413.5,11326.9,27456.4,12575.1
P63261,Actin  cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1,636.3058374,76.26666667,28,962,3,3,1,375,41.766,5.48,FALSE,High,Master Protein,740567.469,60,17831.40964,76.26666667,28,962,7985.1,17652.4,26200,44736.4,59939.2,51284.9,39321.1,15741.3,18583,13875.3,79731.3
Q8WXH0,Nesprin-2 OS=Homo sapiens OX=9606 GN=SYNE2 PE=1 SV=3,612.6228685,26.56499637,176,233,166,167,1,6885,795.944,5.36,FALSE,High,Master Protein,1.766,7,2665.224193,26.56499637,176,233,14530.9,7883.4,8282.3,8405.8,8587.5,8093.9,8735.8,5290.5,4484.3,3773.4,3948.9
P11388,DNA topoisomerase 2-alpha OS=Homo sapiens OX=9606 GN=TOP2A PE=1 SV=3,610.4494011,58.26257348,89,283,70,71,1,1531,174.276,8.72,FALSE,High,Master Protein,96.555,21,3892.776936,58.26257348,89,283,51920.3,20531.4,17827.7,13059.2,9930.9,8384.1,9164.4,7174.6,7586.7,5983.1,3087.8
Q5JRA6,Transport and Golgi organization protein 1 homolog OS=Homo sapiens OX=9606 GN=MIA3 PE=1 SV=1,581.3256435,53.85422129,94,205,92,92,1,1907,213.57,4.84,FALSE,High,Master Protein,20.411,2,3374.917646,53.85422129,94,205,2717.1,4401.4,7438,11663.1,16081.1,15370.9,15177,6389,2858,2398.8,1865.6
O43491,Band 4.1-like protein 2 OS=Homo sapiens OX=9606 GN=EPB41L2 PE=1 SV=1,566.9247759,67.66169154,67,239,60,60,1,1005,112.519,5.44,FALSE,High,Master Protein,241.446,6,3894.577746,67.66169154,67,239,2425.9,9542.6,14868.4,22306.4,22562.2,18319.6,18358.7,8334.1,5049.7,3489.4,4450.7
Q9NR30,Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5,562.1333109,67.81609195,56,328,53,53,1,783,87.29,9.28,FALSE,High,Master Protein,3000.047,4,5024.056545,67.81609195,56,328,27240.5,8124.9,9158.5,8494.6,8714.2,10460.5,16614.6,23820.9,40906,22831,3362.3
P11717,Cation-independent mannose-6-phosphate receptor OS=Homo sapiens OX=9606 GN=IGF2R PE=1 SV=3,557.4995465,45.12244079,98,194,96,97,1,2491,274.199,5.94,FALSE,High,Master Protein,10.536,1,3181.464139,45.12244079,98,194,2572.9,9217,10020.6,8664.6,9484.4,10368.3,14981.4,14741.9,11052.8,4874.8,2910
P49454,Centromere protein F OS=Homo sapiens OX=9606 GN=CENPF PE=1 SV=3,550.2841205,47.33461785,149,222,137,140,1,3114,357.306,5.1,FALSE,High,Master Protein,5.187,9,2502.437228,47.33461785,149,222,15367.1,9869.5,10388.3,8267.7,6412.5,6409.3,8148.4,7418.9,6514.4,4688.5,2718.7
O95613,Pericentrin OS=Homo sapiens OX=9606 GN=PCNT PE=1 SV=4,543.9385788,39.59832134,131,192,128,128,1,3336,377.806,5.55,FALSE,High,Master Protein,4.405,3,2808.266651,39.59832134,131,192,4138.6,7184,8528.1,8422.6,6582.9,6305.2,7500.3,7172,9053.8,9182.6,4411.8
Q14683,Structural maintenance of chromosomes protein 1A OS=Homo sapiens OX=9606 GN=SMC1A PE=1 SV=2,538.9658524,62.44931062,93,268,86,91,1,1233,143.144,7.64,FALSE,High,Master Protein,104.372,2,3526.152839,62.44931062,93,268,27355.1,11934.9,12369.4,11466.3,10480.5,10685,14680.8,15769.2,18854,14876.7,2525.7
P52272,Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3,524.9741367,74.93150685,56,393,56,56,1,730,77.464,8.7,FALSE,High,Master Protein,380.784,0,7094.910201,74.93150685,56,393,35001.7,10677,10366.7,8772.6,8971.6,10646.4,20792.8,29719.9,28481.7,14701.8,3880.1
Q9UQE7,Structural maintenance of chromosomes protein 3 OS=Homo sapiens OX=9606 GN=SMC3 PE=1 SV=2,517.455192,57.60065735,80,243,78,78,1,1217,141.454,7.18,FALSE,High,Master Protein,81.155,3,3328.841114,57.60065735,80,243,20851.9,10327.3,10826.6,10581.7,10250.1,10346.4,13335.8,13566.2,16507.3,12680,2691.9
A5YKK6,CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2,512.5888858,41.07744108,88,203,87,88,1,2376,266.768,7.11,FALSE,High,Master Protein,10.202,0,3248.377247,41.07744108,88,203,2568.7,4440.8,5487.6,6555.5,7769.8,10228.8,15222.9,18711.5,14772.9,6517.1,2728.2
Q15154,Pericentriolar material 1 protein OS=Homo sapiens OX=9606 GN=PCM1 PE=1 SV=5,508.2136347,47.9743083,80,194,77,78,1,2024,228.403,5.02,FALSE,High,Master Protein,22.385,0,2928.721348,47.9743083,80,194,1960.4,4975.6,5311.4,5531,5181.5,5997.9,8479.4,8315.6,7024.2,4164.7,2214.2
P06576,ATP synthase subunit beta  mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3,503.9600046,71.83364839,26,528,26,26,1,529,56.525,5.4,FALSE,High,Master Protein,3806.546,0,7726.41606,71.83364839,26,528,5233,39690,38175.5,19493.8,7893.6,4939.4,4995.4,4483.1,4993.1,4925.7,3924.1
P13667,Protein disulfide-isomerase A4 OS=Homo sapiens OX=9606 GN=PDIA4 PE=1 SV=2,502.8196471,68.68217054,47,293,45,45,1,645,72.887,5.07,FALSE,High,Master Protein,547.442,2,5796.059159,68.68217054,47,293,2719.5,8771.1,15698.7,26313.1,36268.8,33664.6,31694.8,11791,5290.5,3788.5,9632
Q14573,Inositol 1 4 5-trisphosphate receptor type 3 OS=Homo sapiens OX=9606 GN=ITPR3 PE=1 SV=2,498.6743798,39.27368027,93,170,78,78,1,2671,303.912,6.48,FALSE,High,Master Protein,7.483,1,2608.816416,39.27368027,93,170,2051,3813.8,5639.6,8162.4,10460.6,10475.6,10597.9,5314.2,3005,2028.7,1395.4
Q15075,Early endosome antigen 1 OS=Homo sapiens OX=9606 GN=EEA1 PE=1 SV=2,493.130337,67.61162296,100,201,94,96,1,1411,162.367,5.68,FALSE,High,Master Protein,21.154,5,2816.886198,67.61162296,100,201,6264.3,5912.4,7008,8534.5,10480,11905.4,15738.5,12905.5,12434.4,9263.9,11095.4
Q14839,Chromodomain-helicase-DNA-binding protein 4 OS=Homo sapiens OX=9606 GN=CHD4 PE=1 SV=2,492.9640444,42.93933054,80,196,58,63,1,1912,217.867,5.86,FALSE,High,Master Protein,23.041,17,3122.912675,42.93933054,80,196,41038.5,14082,12701.4,9302,7192.5,5765.7,6027.9,3939.1,3897.5,3245.5,2773.5
Q14676,Mediator of DNA damage checkpoint protein 1 OS=Homo sapiens OX=9606 GN=MDC1 PE=1 SV=3,488.3929044,54.9545237,73,156,72,73,1,2089,226.529,5.47,FALSE,High,Master Protein,18.766,0,2680.972567,54.9545237,73,156,14872.6,5775,5136.3,3834.8,3194.9,2638.2,2749.3,1969.3,1880.2,1721.2,1626.4
Q5UIP0,Telomere-associated protein RIF1 OS=Homo sapiens OX=9606 GN=RIF1 PE=1 SV=2,472.1891422,46.84466019,98,156,97,97,1,2472,274.294,5.52,FALSE,High,Master Protein,7.927,1,2594.959365,46.84466019,98,156,23705.8,7945.4,7278.8,5775.3,4795.1,4239.5,5185.1,4431,3902.9,2964.5,1974.3
Q9Y4L1,Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1,464.6043497,60.06006006,52,204,52,52,1,999,111.266,5.22,FALSE,High,Master Protein,78.433,0,3949.345719,60.06006006,52,204,2184.1,5491.4,9204.4,15295.3,20686.3,19632.6,17218.3,6703.6,3555.1,2616.8,5041.7
Q02952,A-kinase anchor protein 12 OS=Homo sapiens OX=9606 GN=AKAP12 PE=1 SV=4,459.2713956,65.31986532,72,136,72,72,1,1782,191.367,4.41,FALSE,High,Master Protein,16.044,0,2570.445039,65.31986532,72,136,901.8,2842,3053.5,3235.1,3160.5,2626.8,2861,1860.2,2878.7,1902.6,16391.7
Q5VYK3,Proteasome adapter and scaffold protein ECM29 OS=Homo sapiens OX=9606 GN=ECPAS PE=1 SV=2,453.5028975,46.28726287,68,145,68,68,1,1845,204.16,7.12,FALSE,High,Master Protein,10.805,0,2644.488842,46.28726287,68,145,3176.2,3255.3,3714.2,3929,4218.6,5082.7,7797.5,9730.5,12847.6,16644.4,2486.9
P55196,Afadin OS=Homo sapiens OX=9606 GN=AFDN PE=1 SV=3,452.6042841,51.97368421,77,147,75,75,1,1824,206.676,6.47,FALSE,High,Master Protein,13.368,0,2540.625836,51.97368421,77,147,2585.4,4049.7,5140.3,6710,8331.6,8017.4,8813.6,6642.1,7156.3,6208.3,2768
P35221,Catenin alpha-1 OS=Homo sapiens OX=9606 GN=CTNNA1 PE=1 SV=1,451.472828,67.77041943,54,186,38,38,1,906,100.009,6.29,FALSE,High,Master Protein,99,13,3658.319483,67.77041943,54,186,2442.1,5151.6,7172.7,9522.8,10272.7,8979.5,9655.4,5401.4,3803.3,2829.6,2196.9
Q8NCM8,Cytoplasmic dynein 2 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC2H1 PE=1 SV=4,438.0564888,29.4636638,122,169,117,117,1,4307,492.311,6.54,FALSE,High,Master Protein,2.503,3,1916.519362,29.4636638,122,169,2807.6,4029.8,4658.4,5240.7,5403.5,6153.5,8476.9,9528,11536.8,8550.2,2106.7
Q12923,Tyrosine-protein phosphatase non-receptor type 13 OS=Homo sapiens OX=9606 GN=PTPN13 PE=1 SV=2,434.5713069,43.42052314,87,135,86,86,1,2485,276.733,6.42,FALSE,High,Master Protein,6.469,1,2250.073931,43.42052314,87,135,1709.4,3861.8,6011.2,8850.6,9534,7818.5,7281.1,3756.3,2710.4,2319.6,1415.1
O95714,E3 ubiquitin-protein ligase HERC2 OS=Homo sapiens OX=9606 GN=HERC2 PE=1 SV=2,431.5188197,23.97600331,105,145,90,102,1,4834,526.895,6.28,FALSE,High,Master Protein,1.99,2,2305.820241,23.97600331,105,145,2198.4,3439.8,4436.4,5685.3,6699.7,6751,7881.9,5733.1,7862.2,10175,2343.6
Q14690,Protein RRP5 homolog OS=Homo sapiens OX=9606 GN=PDCD11 PE=1 SV=3,431.4272211,41.74238375,77,172,77,77,1,1871,208.57,8.87,FALSE,High,Master Protein,10.705,0,2954.227952,41.74238375,77,172,8493.3,3035,3433.5,3307.5,3532.1,4355,7507.6,12032.6,22607,10546.1,1889.4
P22102,Trifunctional purine biosynthetic protein adenosine-3 OS=Homo sapiens OX=9606 GN=GART PE=1 SV=1,429.2299977,60.59405941,50,210,50,50,1,1010,107.699,6.7,FALSE,High,Master Protein,43.668,0,4424.312958,60.59405941,50,210,5980,5713.8,5949.6,6337.1,5812.3,5895.8,8630.4,8765.6,11994.4,12704.5,15549.5
P34932,Heat shock 70 kDa protein 4 OS=Homo sapiens OX=9606 GN=HSPA4 PE=1 SV=4,425.8771188,70.95238095,53,164,50,50,1,840,94.271,5.19,FALSE,High,Master Protein,84.317,3,3170.923033,70.95238095,53,164,1398.9,2369.4,2796.9,3636.9,3706,3291.1,4015.3,2833.8,7561.4,4986.6,45977
P69849,Nodal modulator 3 OS=Homo sapiens OX=9606 GN=NOMO3 PE=3 SV=2,425.8105465,51.22749591,47,144,1,3,1,1222,134.049,5.67,FALSE,High,Master Protein,18.573,46,3289.32067,51.22749591,47,144,2612,4032.4,6261.9,9587,12841.3,11522.6,11279.6,4744.1,2579.2,2595.6,1978.2
O75153,Clustered mitochondria protein homolog OS=Homo sapiens OX=9606 GN=CLUH PE=1 SV=2,423.4889332,58.28877005,61,137,59,60,1,1309,146.577,6.13,FALSE,High,Master Protein,20.544,1,2705.466366,58.28877005,61,137,2181,2487.3,2831.3,2910.1,3263.4,4018.9,6785,8673.8,10134.4,8183.1,2454
P25205,DNA replication licensing factor MCM3 OS=Homo sapiens OX=9606 GN=MCM3 PE=1 SV=3,422.4175188,74.5049505,56,176,56,56,1,808,90.924,5.77,FALSE,High,Master Protein,91.239,0,3181.559722,74.5049505,56,176,4593.5,3770.6,3965,3920,3797.7,4216.8,5968.2,6890.6,12702.7,15187.7,7615.1
Q9H583,HEAT repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=HEATR1 PE=1 SV=3,421.7346582,38.75932836,78,161,76,76,1,2144,242.215,6.54,FALSE,High,Master Protein,8.006,1,2609.119195,38.75932836,78,161,9950.6,4047.4,4573,4440,4517.1,5402.3,8435.4,11963.4,20473.7,10494.9,2643
Q14160,Protein scribble homolog OS=Homo sapiens OX=9606 GN=SCRIB PE=1 SV=4,420.0877951,49.38650307,65,139,62,62,1,1630,174.778,5.07,FALSE,High,Master Protein,14.449,2,2793.919562,49.38650307,65,139,1697.7,4260.8,6044.5,8702.8,9243.2,7891,7805.1,3876,2860.4,2303.1,2583.5
Q12931,Heat shock protein 75 kDa  mitochondrial OS=Homo sapiens OX=9606 GN=TRAP1 PE=1 SV=3,417.8788899,71.44886364,45,278,43,43,1,704,80.06,8.21,FALSE,High,Master Protein,145.78,1,4775.861645,71.44886364,45,278,3854,39750.4,35568.8,18748.5,6378.5,3207.3,2843.3,2536.9,2901.5,2715.2,2618.9
Q9NVP1,ATP-dependent RNA helicase DDX18 OS=Homo sapiens OX=9606 GN=DDX18 PE=1 SV=2,416.0760147,54.92537313,32,145,32,32,1,670,75.359,9.5,FALSE,High,Master Protein,407.424,0,3675.342644,54.92537313,32,145,5263.5,2225.2,2509,2498.2,2824.2,3888.6,6524.1,9550.5,14636.4,8813.7,1389.3
Q15155,Nodal modulator 1 OS=Homo sapiens OX=9606 GN=NOMO1 PE=1 SV=5,414.7673725,50.24549918,46,141,2,2,1,1222,134.239,5.81,FALSE,High,Master Protein,17.361,0,3204.386242,50.24549918,46,141,56.2,97.1,139,202.6,231.5,198.9,194.3,90.7,43.5,30.9,100.2
Q8N3C0,Activating signal cointegrator 1 complex subunit 3 OS=Homo sapiens OX=9606 GN=ASCC3 PE=1 SV=3,413.4259903,41.28065395,78,130,76,76,1,2202,251.301,7.09,FALSE,High,Master Protein,5.735,0,2262.847754,41.28065395,78,130,1871.5,3416.9,4247.1,5007.1,5555.9,5672.4,7105.1,7363.5,13083.8,18392.2,1952
Q07157,Tight junction protein ZO-1 OS=Homo sapiens OX=9606 GN=TJP1 PE=1 SV=3,411.8023828,52.91762014,74,143,69,70,1,1748,195.34,6.7,FALSE,High,Master Protein,13.62,2,2161.027069,52.91762014,74,143,1883.1,6502.4,7742.6,7827.8,6445.8,4935,5306.8,4054.8,5108.2,4901.8,1525.9
P07237,Protein disulfide-isomerase OS=Homo sapiens OX=9606 GN=P4HB PE=1 SV=3,411.5940749,72.04724409,41,383,40,40,1,508,57.081,4.87,FALSE,High,Master Protein,594.662,1,5388.008158,72.04724409,41,383,2734.4,8804.7,15453.5,25417.9,34993.5,32131,30688,11628.4,5008.5,3383.2,8252.2
P03243,E1B 55 kDa protein OS=Human adenovirus C serotype 5 OX=28285 PE=1 SV=1,411.035823,63.30645161,26,406,5,5,1,496,54.964,7.3,FALSE,High,Master Protein,9151.473,44,7306.069848,63.30645161,26,406,9591.3,19552.7,15615.2,15124.3,14008.5,14908,17117.4,16007.8,17082,15212.6,4741
Q86XP3,ATP-dependent RNA helicase DDX42 OS=Homo sapiens OX=9606 GN=DDX42 PE=1 SV=1,409.340963,66.63113006,47,149,47,47,1,938,102.912,7.02,FALSE,High,Master Protein,50.795,0,2627.953698,66.63113006,47,149,3718.3,2243.9,2401.8,2339.2,2562,3457.8,5401.2,6849.1,7272.9,4777.4,1482.1
Q71U36,Tubulin alpha-1A chain OS=Homo sapiens OX=9606 GN=TUBA1A PE=1 SV=1,408.89876400000003,63.19290466,24,513,0,1,1,451,50.104,5.06,FALSE,High,Master Protein,5622.413,44,7350.043863,63.19290466,24,513,5380.8,8632.2,9930.7,12060.3,12711.9,12157.9,14087,11628.6,18230.4,21493.4,72673.8
Q92878,DNA repair protein RAD50 OS=Homo sapiens OX=9606 GN=RAD50 PE=1 SV=1,406.4417469,61.96646341,93,163,91,92,1,1312,153.797,6.89,FALSE,High,Master Protein,26.101,1,2492.713705,61.96646341,93,163,18347.6,8719.7,8317.4,7675.3,6852.9,6879.6,8482.3,8387.2,11329.1,9739.7,2044.3
Q5SW79,Centrosomal protein of 170 kDa OS=Homo sapiens OX=9606 GN=CEP170 PE=1 SV=1,398.6788928,56.75505051,78,148,69,69,1,1584,175.187,7.11,FALSE,High,Master Protein,13.84,9,2109.587099,56.75505051,78,148,3394.5,5061.2,5658.1,6220,6100.8,6165.7,8294.3,8231.8,14284.2,13969.8,2145.1
