Accession,Description,Sum_PEP_Score,Coverage,#Peptides,#PSMs,#Protein_Unique_Peptides,#Unique_Peptides,#Protein_Groups,#AAs,MW_kDa,calc_pI,Checked,Protein_FDR_Confidence,Master,emPAI,Razor_Peptides,Score_Mascot,Coverage_Mascot,#Peptides_Mascot,#PSMs_Mascot,TMT126,127N,127C,128N,128C,129N,129C,130N,130C,131N,131C
Q9UPN3,Microtubule-actin cross-linking factor 1  isoforms 1/2/3/5 OS=Homo sapiens OX=9606 GN=MACF1 PE=1 SV=4,1089.80437,32.20086627,210,312,196,196,1,7388,837.787,5.39,FALSE,High,Master Protein,2.685,14,6838.408734,32.20086627,210,312,4059.8,8906.4,11185.8,13844.7,11792.2,23758.5,18584.6,13415.4,16794,10456.4,7707.5
P35580,Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3,1087.627642,60.27327935,131,412,98,103,1,1976,228.858,5.54,FALSE,High,Master Protein,123.305,9,9076.082156,60.27327935,131,412,6952,16419.2,20115.2,23889.8,17468.9,23791.6,13362.5,8039.6,9429.4,16421.8,15912.8
Q09666,Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2,947.8214048,57.40237691,181,310,181,181,1,5890,628.699,6.15,FALSE,High,Master Protein,2.903,0,6347.332661,57.40237691,181,310,3368.5,10926.7,15152.9,18331,14049.6,21336.5,11795.2,5853.7,5253.2,3157.5,3984.1
Q14789,Golgin subfamily B member 1 OS=Homo sapiens OX=9606 GN=GOLGB1 PE=1 SV=2,929.0942212,59.52746241,165,288,157,158,1,3259,375.79,5,FALSE,High,Master Protein,8.802,5,5494.333135,59.52746241,165,288,2527.9,11123.7,17895.9,16976.6,8948.2,11624.6,7481,4832,6578,3826.9,3965.7
Q92805,Golgin subfamily A member 1 OS=Homo sapiens OX=9606 GN=GOLGA1 PE=1 SV=3,793.0104708,71.83833116,61,484,59,59,1,767,88.13,5.27,FALSE,High,Master Protein,2153.435,2,9885.005249,71.83833116,61,484,17865.9,80697.5,29065.7,17065.2,7829.6,11429.7,7029.3,4412.8,5021.4,3867,4514.7
Q9NU22,Midasin OS=Homo sapiens OX=9606 GN=MDN1 PE=1 SV=2,762.146958,30.21801287,149,256,148,148,1,5596,632.42,5.68,FALSE,High,Master Protein,3.296,1,4938.707199,30.21801287,149,256,1978.5,3639.6,3880.6,5003,5278.9,13790,12494.4,10027.8,17879.9,8729.2,3344.9
P16615,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1,695.9465593,54.79846449,53,380,30,53,1,1042,114.683,5.34,FALSE,High,Master Protein,709.971,0,8476.355815,54.79846449,53,380,3584.1,7935.7,12712,20636.4,20425.2,39165.6,20100.1,7994.2,5303.5,2743,3066.8
Q00341,Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2,689.9122979,63.95899054,79,312,76,77,1,1268,141.368,6.87,FALSE,High,Master Protein,139.653,1,6076.630492,63.95899054,79,312,2578.6,5784.5,8067,11595.1,11741.2,27550.2,21712.6,15106.5,10591.8,3133,2254.7
Q86UP2,Kinectin OS=Homo sapiens OX=9606 GN=KTN1 PE=1 SV=1,674.6197319,73.47089167,100,249,99,99,1,1357,156.179,5.64,FALSE,High,Master Protein,73.763,1,4922.471763,73.47089167,100,249,3416,7839,14388.5,23898.3,21680.7,34441.4,15990,5999.7,4462,3244.2,3395.7
Q5JRA6,Transport and Golgi organization protein 1 homolog OS=Homo sapiens OX=9606 GN=MIA3 PE=1 SV=1,648.2921626,56.52857892,93,217,92,92,1,1907,213.57,4.84,FALSE,High,Master Protein,21.638,1,4286.152794,56.52857892,93,217,2784.1,5387.5,8103.9,12750.6,12417.2,22389.5,11353.5,4452.7,3196.1,1948.4,2415.2
