Accession,Description,Sum_PEP_Score,Coverage,#Peptides,#PSMs,#Protein_Unique_Peptides,#Unique_Peptides,#Protein_Groups,#AAs,MW_kDa,calc_pI,Checked,Protein_FDR_Confidence,Master,emPAI,Razor_Peptides,Score_Mascot,Coverage_Mascot,#Peptides_Mascot,#PSMs_Mascot,TMT126,127N,127C,128N,128C,129N,129C,130N,130C,131N,131C
Q9UPN3,Microtubule-actin cross-linking factor 1  isoforms 1/2/3/5 OS=Homo sapiens OX=9606 GN=MACF1 PE=1 SV=4,1241.581506,37.53383866,244,391,230,232,1,7388,837.787,5.39,FALSE,High,Master Protein,3.82,11,6165.874414,37.53383866,244,391,5158,9883.4,12799.9,13368.8,13418.3,16795.6,15640.1,15290.3,16420.1,11486.2,5386.5
P35580,Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3,1032.657956,61.6902834,130,381,96,102,1,1976,228.858,5.54,FALSE,High,Master Protein,100.83,37,7133.971107,61.6902834,130,381,3958.5,13742.7,17770.1,17028.2,16534.2,15788.8,10574.7,8138,6458.9,30238.9,10279.8
Q09666,Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2,999.7298145,65.55178268,209,361,205,206,1,5890,628.699,6.15,FALSE,High,Master Protein,3.979,2,4898.469679,65.55178268,209,361,2721.8,9067.6,12223.2,14205,14586.5,13647,8815.8,5216.2,4141,3854.6,2060.4
Q14789,Golgin subfamily B member 1 OS=Homo sapiens OX=9606 GN=GOLGB1 PE=1 SV=2,893.9590545,57.93188095,176,303,166,166,1,3259,375.79,5,FALSE,High,Master Protein,10.053,10,3809.825749,57.93188095,176,303,2905.7,9083.8,15895.7,16671,7627.4,7086.6,5597.3,4806.6,5497.1,4171.3,2686.7
Q9NU22,Midasin OS=Homo sapiens OX=9606 GN=MDN1 PE=1 SV=2,860.5367978,37.16940672,180,279,178,179,1,5596,632.42,5.68,FALSE,High,Master Protein,4.159,1,4225.589247,37.16940672,180,279,10148.9,3782.1,4205.6,4000,4225.7,7345.4,7796.3,9611.9,15378.5,10392,1857.2
Q03001,Dystonin OS=Homo sapiens OX=9606 GN=DST PE=1 SV=4,728.0222991,27.55614267,188,246,176,176,1,7570,860.127,5.25,FALSE,High,Master Protein,1.797,2,2974.899204,27.55614267,188,246,3615,5149.7,6033.1,6488,7283.5,8411.5,6783.9,6191.8,7154.7,6372.1,3129.1
Q5T4S7,E3 ubiquitin-protein ligase UBR4 OS=Homo sapiens OX=9606 GN=UBR4 PE=1 SV=1,723.5689228,31.3717924,132,216,131,131,1,5183,573.476,6.04,FALSE,High,Master Protein,3.719,1,3689.665688,31.3717924,132,216,1383.7,1999.8,2397.9,2537,2776.9,3833,3243.4,4191.7,6168,29801.1,3366.7
Q86UP2,Kinectin OS=Homo sapiens OX=9606 GN=KTN1 PE=1 SV=1,691.758501,70.96536478,96,242,95,95,1,1357,156.179,5.64,FALSE,High,Master Protein,79.401,1,3483.41201,70.96536478,96,242,3291,6034.4,9727.8,13925,20680.7,17955.7,9235.3,3873.2,2555.3,2291.4,1469.8
P12270,Nucleoprotein TPR OS=Homo sapiens OX=9606 GN=TPR PE=1 SV=3,668.5828351,50.4443504,117,226,110,111,1,2363,267.131,5.02,FALSE,High,Master Protein,19.852,5,3326.662614,50.4443504,117,226,11893.6,4995,4107,4031.8,4355.5,7781.5,8826.7,9981.3,12511.7,9136.4,4705.8
P16615,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1,659.1728588,53.55086372,51,299,29,33,1,1042,114.683,5.34,FALSE,High,Master Protein,425.216,28,5581.918728,53.55086372,51,299,2523.3,6072.7,8844.8,10877.4,18162.1,19512.7,11037.9,5020.2,3145.7,2330.4,2129.1
P06576,ATP synthase subunit beta  mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3,654.4608652,74.29111531,27,336,27,27,1,529,56.525,5.4,FALSE,High,Master Protein,7428.64,0,6313.317976,74.29111531,27,336,2453.6,16183.1,28445.6,21857.5,4768.2,3820.4,2581.4,2434.5,2865.7,3342,2703.4
Q00341,Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2,646.9162643,61.829653,76,286,73,73,1,1268,141.368,6.87,FALSE,High,Master Protein,143.708,3,3916.9987,61.829653,76,286,2108.3,3532.4,5464,6555.5,9145.4,12724.7,11212.3,11409.3,8500.2,3531.9,1248.1
P46939,Utrophin OS=Homo sapiens OX=9606 GN=UTRN PE=1 SV=2,609.1017338,43.16923973,129,205,120,122,1,3433,394.22,5.33,FALSE,High,Master Protein,5.296,6,3051.935466,43.16923973,129,205,1636.8,6141.6,8324.8,9353.1,9293.4,8139.6,4667.2,3102.4,3234.4,3409.9,1907
P63261,Actin  cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1,592.8712606,78.66666667,24,842,1,1,1,375,41.766,5.48,FALSE,High,Master Protein,164963.807,0,13449.70582,78.66666667,24,842,247.3,729.6,931.4,1119.9,2030.3,1745.4,802.7,541.2,385.8,326.3,2189.8
Q9P2E9,Ribosome-binding protein 1 OS=Homo sapiens OX=9606 GN=RRBP1 PE=1 SV=5,576.8601863,73.82978723,94,219,92,92,1,1410,152.365,8.6,FALSE,High,Master Protein,26.89,0,3030.367645,73.82978723,94,219,3082.5,5762.9,9208.9,11721.1,14900,13409.6,7491.3,4430.4,3516.8,2748.1,1670
P11717,Cation-independent mannose-6-phosphate receptor OS=Homo sapiens OX=9606 GN=IGF2R PE=1 SV=3,549.9897499,47.450822960000004,92,175,90,92,1,2491,274.199,5.94,FALSE,High,Master Protein,8.385,0,2902.422956,47.450822960000004,92,175,1292,2144.3,3054,3410.6,6595,11225.6,9354.5,9234,6243.3,2617.1,1204.9
Q9NZJ4,Sacsin OS=Homo sapiens OX=9606 GN=SACS PE=1 SV=2,545.8209991,31.92836864,131,163,131,131,1,4579,520.795,7.05,FALSE,High,Master Protein,2.476,0,2692.098386,31.92836864,131,163,1573.5,2477.7,3422.6,3419.2,4709.1,9445.9,10296.5,11343.5,8110.4,2654.9,1401.8
Q8NCM8,Cytoplasmic dynein 2 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC2H1 PE=1 SV=4,526.1006822,31.94799164,125,181,122,122,1,4307,492.311,6.54,FALSE,High,Master Protein,2.71,2,2316.001333,31.94799164,125,181,1900.2,3277.4,4608,4574.9,4472.3,7610.4,7716.9,7852.2,6389.6,3496.9,1185.3
P05023,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens OX=9606 GN=ATP1A1 PE=1 SV=1,522.2004366,50.73313783,49,281,30,31,1,1023,112.824,5.49,FALSE,High,Master Protein,315.228,25,4990.836078,50.73313783,49,281,1528.2,7546.1,11223.8,12108.6,13322.7,12046.7,6780.1,3874.9,3097.6,2138.8,1154
Q5VYK3,Proteasome adapter and scaffold protein ECM29 OS=Homo sapiens OX=9606 GN=ECPAS PE=1 SV=2,508.1871796,50.56910569,73,143,73,73,1,1845,204.16,7.12,FALSE,High,Master Protein,9.865,0,3093.599734,50.56910569,73,143,1551,1915,2440.3,2545.5,3266.8,5986,6397.8,7375.4,8983.9,8290.1,811.8
Q9UQE7,Structural maintenance of chromosomes protein 3 OS=Homo sapiens OX=9606 GN=SMC3 PE=1 SV=2,505.929837,58.2580115,76,188,72,73,1,1217,141.454,7.18,FALSE,High,Master Protein,42.067,3,2890.033912,58.2580115,76,188,11166.8,4638.2,4628.4,4170,4658.9,7679.7,8049.7,8693.4,10355.1,5187,1018.6
Q14683,Structural maintenance of chromosomes protein 1A OS=Homo sapiens OX=9606 GN=SMC1A PE=1 SV=2,497.1786845,61.88158962,88,208,83,83,1,1233,143.144,7.64,FALSE,High,Master Protein,45.822,3,3139.293317,61.88158962,88,208,13388.2,5495.7,5294.4,4789,5513.2,9553.9,9828.8,10982.8,12752.1,6108.6,1420.6
O43491,Band 4.1-like protein 2 OS=Homo sapiens OX=9606 GN=EPB41L2 PE=1 SV=1,492.9900162,67.36318408,61,182,56,56,1,1005,112.519,5.44,FALSE,High,Master Protein,92.16,4,2867.089859,67.36318408,61,182,1447.6,7876.9,10383.3,10966.8,10413,7854.9,4309.8,2455.8,2359.4,1567.2,2044.1
Q12931,Heat shock protein 75 kDa  mitochondrial OS=Homo sapiens OX=9606 GN=TRAP1 PE=1 SV=3,490.1973679,68.46590909,42,263,40,40,1,704,80.06,8.21,FALSE,High,Master Protein,225.03,0,4903.197115,68.46590909,42,263,1426.4,12786.6,21962.3,17450.6,3839.8,2550.9,1537.4,1347.2,1595.2,1886.5,1312.7
O95714,E3 ubiquitin-protein ligase HERC2 OS=Homo sapiens OX=9606 GN=HERC2 PE=1 SV=2,486.8872165,29.91311543,118,162,99,99,1,4834,526.895,6.28,FALSE,High,Master Protein,2.403,15,2251.537305,29.91311543,118,162,1866.8,2901.3,4694.7,4294.9,4453.3,5729.6,4050.1,3488.4,6004.4,6047.4,949.7
O95613,Pericentrin OS=Homo sapiens OX=9606 GN=PCNT PE=1 SV=4,480.2718987,38.06954436,119,158,116,116,1,3336,377.806,5.55,FALSE,High,Master Protein,3.175,4,2116.499876,38.06954436,119,158,1645.2,3363.5,4595.8,3989.9,3436.4,5510,5030.9,4765.3,5609.9,4004.3,1973.1
Q5JRA6,Transport and Golgi organization protein 1 homolog OS=Homo sapiens OX=9606 GN=MIA3 PE=1 SV=1,476.9768844,54.48348191,86,163,84,84,1,1907,213.57,4.84,FALSE,High,Master Protein,11.041,1,2372.216966,54.48348191,86,163,1009.1,2915.9,4316,5905.6,8951.1,9232.7,5065.1,2240.5,1479.4,1334,909.3
A5YKK6,CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2,473.8044649,39.39393939,81,158,81,81,1,2376,266.768,7.11,FALSE,High,Master Protein,7.099,0,2836.54483,39.39393939,81,158,1372.8,2152.2,2924.6,3220.5,4523.2,8185.9,8654.7,9639.6,7515.1,2484.3,961.4
Q8WXH0,Nesprin-2 OS=Homo sapiens OX=9606 GN=SYNE2 PE=1 SV=3,473.5450217,23.66013072,151,179,140,143,1,6885,795.944,5.36,FALSE,High,Master Protein,1.18,5,1713.731753,23.66013072,151,179,8026.9,4396.7,4046.4,4309.6,5077.3,5588.6,3744.8,2302.7,2265.4,3021.3,1811.5
Q9Y4L1,Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1,471.4825592,62.26226226,49,163,49,49,1,999,111.266,5.22,FALSE,High,Master Protein,57.434,0,3442.694402,62.26226226,49,163,866.3,3142.3,4690.4,6689.5,10600.8,9873.6,5156.5,2290.6,1491.6,1627.5,2164.9
P52272,Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3,460.3856516,76.57534247,50,223,50,50,1,730,77.464,8.7,FALSE,High,Master Protein,133.052,0,3326.860285,76.57534247,50,223,21501.9,5160.7,4623.1,3494,3375.5,5873.2,5723.2,7794.9,10202.2,4432.9,1552.2
Q15021,Condensin complex subunit 1 OS=Homo sapiens OX=9606 GN=NCAPD2 PE=1 SV=3,457.19304,55.31763026,61,138,60,60,1,1401,157.082,6.61,FALSE,High,Master Protein,16.113,1,2762.710599,55.31763026,61,138,2952.8,3090.5,3208,3179,3743.8,6100.1,6392.1,6864.8,6937.1,3490.9,872.6
Q02952,A-kinase anchor protein 12 OS=Homo sapiens OX=9606 GN=AKAP12 PE=1 SV=4,447.1149511,58.19304153,67,123,66,67,1,1782,191.367,4.41,FALSE,High,Master Protein,12.704,0,2177.356881,58.19304153,67,123,763.2,2060.7,2385.1,2483.4,2503.6,2778.6,1913.5,1674.3,1751.7,1231.3,10477.5
P11388,DNA topoisomerase 2-alpha OS=Homo sapiens OX=9606 GN=TOP2A PE=1 SV=3,444.0972589,52.906597,76,167,59,60,1,1531,174.276,8.72,FALSE,High,Master Protein,22.206,15,2585.77177,52.906597,76,167,26591.5,8549,6515.4,4225.9,3216.3,3826.4,3163,2920.2,3457.1,2430.5,1025.8
Q9NR30,Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5,439.2561134,62.5798212,47,187,44,44,1,783,87.29,9.28,FALSE,High,Master Protein,431.876,4,2655.86774,62.5798212,47,187,30931,5570.5,4178.2,2777.9,2260.8,3452.9,3572.7,5117.9,8207.6,4769.9,1234.3
O75153,Clustered mitochondria protein homolog OS=Homo sapiens OX=9606 GN=CLUH PE=1 SV=2,437.6792218,58.51795264,61,154,61,61,1,1309,146.577,6.13,FALSE,High,Master Protein,27.101,0,2524.945144,58.51795264,61,154,986.5,1527,2036.1,2119,2754.5,5231.1,5599.6,7001.4,7147.2,3651.7,1245.6
Q6P2E9,Enhancer of mRNA-decapping protein 4 OS=Homo sapiens OX=9606 GN=EDC4 PE=1 SV=1,430.864657,52.248394,50,133,50,50,1,1401,151.567,5.86,FALSE,High,Master Protein,24.65,0,2624.328357,52.248394,50,133,841.5,1271.9,1673.9,1776.8,2368.8,4252.7,4747.3,6730.3,7910.4,2910.8,1197.8
P29144,Tripeptidyl-peptidase 2 OS=Homo sapiens OX=9606 GN=TPP2 PE=1 SV=4,430.7722119,57.16573259,60,140,60,60,1,1249,138.263,6.32,FALSE,High,Master Protein,30.128,0,2124.275798,57.16573259,60,140,872.9,1544.8,2198.6,2226.6,2557.8,3182.7,2499.5,3054.3,9201.8,9596.9,1872.3
Q15154,Pericentriolar material 1 protein OS=Homo sapiens OX=9606 GN=PCM1 PE=1 SV=5,429.6755335,41.10671937,71,167,68,69,1,2024,228.403,5.02,FALSE,High,Master Protein,11.505,0,2453.626622,41.10671937,71,167,1238.2,3405.1,4163.1,3406.8,3846.8,6187.4,5603.7,4212.3,4043.2,2786.8,1069.1
Q14839,Chromodomain-helicase-DNA-binding protein 4 OS=Homo sapiens OX=9606 GN=CHD4 PE=1 SV=2,429.6465221,42.41631799,70,150,49,50,1,1912,217.867,5.86,FALSE,High,Master Protein,12.01,19,2408.747627,42.41631799,70,150,21426,6327.5,4793.7,3331.3,2349.9,2596.8,1982.3,1887.7,2395.1,2506,1381.5
Q14573,Inositol 1 4 5-trisphosphate receptor type 3 OS=Homo sapiens OX=9606 GN=ITPR3 PE=1 SV=2,422.2252205,36.31598652,92,169,80,80,1,2671,303.912,6.48,FALSE,High,Master Protein,6.09,10,1870.290392,36.31598652,92,169,1838.4,3469.5,5103.2,6334.8,8980.5,9709.4,5930.2,3121,2353.9,1842.7,1102
P13667,Protein disulfide-isomerase A4 OS=Homo sapiens OX=9606 GN=PDIA4 PE=1 SV=2,420.9386291,64.65116279,38,255,36,37,1,645,72.887,5.07,FALSE,High,Master Protein,181.335,1,4308.822506,64.65116279,38,255,1283.9,5644.1,8466.5,11868.3,18410.4,17276,8870.5,3730.7,2289.7,2015.1,4068.3
P35221,Catenin alpha-1 OS=Homo sapiens OX=9606 GN=CTNNA1 PE=1 SV=1,413.3888673,67.77041943,48,129,34,34,1,906,100.009,6.29,FALSE,High,Master Protein,40.118,13,2486.411131,67.77041943,48,129,824.3,3435.6,4442.1,4439.9,4706,4690.7,3170.5,2271.5,2193.1,1634.6,900.5
P21796,Voltage-dependent anion-selective channel protein 1 OS=Homo sapiens OX=9606 GN=VDAC1 PE=1 SV=2,410.648866,88.33922261,21,330,20,20,1,283,30.754,8.54,FALSE,High,Master Protein,31621.777,1,6643.541348,88.33922261,21,330,2664.5,16847.3,28017.9,23980.3,5033.8,3665.9,2299.3,1934.1,2059.7,2188.6,1418.2
Q96CN9,GRIP and coiled-coil domain-containing protein 1 OS=Homo sapiens OX=9606 GN=GCC1 PE=1 SV=1,409.5008524,73.29032258,51,150,47,47,1,775,87.757,5.45,FALSE,High,Master Protein,57.028,2,2449.344483,73.29032258,51,150,1525.5,9202.3,15537.2,11609.7,3714.4,3593.3,2398,1746.8,1704.2,1907.4,1083.5
P49454,Centromere protein F OS=Homo sapiens OX=9606 GN=CENPF PE=1 SV=3,405.5497445,40.33397559,124,148,113,114,1,3114,357.306,5.1,FALSE,High,Master Protein,2.681,7,1437.034791,40.33397559,124,148,7987.8,4964.9,6617.6,6152.4,3102.1,4281.4,3808.7,3150.8,3393.2,2643.5,1376.5
Q8TEQ6,Gem-associated protein 5 OS=Homo sapiens OX=9606 GN=GEMIN5 PE=1 SV=3,400.0307017,50.39787798,67,167,66,66,1,1508,168.483,6.62,FALSE,High,Master Protein,13.62,1,2309.093653,50.39787798,67,167,1394.9,2239.5,2977.1,3030.9,4112.8,7878.3,8234.5,8959.7,8647.1,6668.5,2470.6
Q71U36,Tubulin alpha-1A chain OS=Homo sapiens OX=9606 GN=TUBA1A PE=1 SV=1,390.9660064,60.0886918,20,299,0,1,1,451,50.104,5.06,FALSE,High,Master Protein,2370.374,11,4041.774416,60.0886918,20,299,342.6,487.4,666.5,696.7,884.9,1138.1,933.5,1074.3,1156.1,2037.4,3748.2
Q92878,DNA repair protein RAD50 OS=Homo sapiens OX=9606 GN=RAD50 PE=1 SV=1,390.3123939,56.32621951,82,150,81,81,1,1312,153.797,6.89,FALSE,High,Master Protein,17.537,0,1918.374159,56.32621951,82,150,9464.6,4891.8,4555.8,3328.4,3085.3,4187.3,4010.3,4380.5,5940.5,4787.4,1379.9
O75179,Ankyrin repeat domain-containing protein 17 OS=Homo sapiens OX=9606 GN=ANKRD17 PE=1 SV=3,387.4295451,33.76872839,70,126,48,48,1,2603,274.088,6.52,FALSE,High,Master Protein,7.625,25,1836.023638,33.76872839,70,126,1137.4,1714.3,2323.5,2339,2860.5,5467.1,5771.4,6524.6,5692.7,2730.7,1258
Q96Q15,Serine/threonine-protein kinase SMG1 OS=Homo sapiens OX=9606 GN=SMG1 PE=1 SV=3,386.8324289,28.62605845,93,131,89,90,1,3661,410.241,6.46,FALSE,High,Master Protein,2.667,4,1765.682068,28.62605845,93,131,1416.9,1724.2,2134.8,2363.1,2670.4,4479.8,4640.1,5962.9,8502.1,6397.7,1283.1
O75592,E3 ubiquitin-protein ligase MYCBP2 OS=Homo sapiens OX=9606 GN=MYCBP2 PE=1 SV=4,383.7162416,25.69474134,106,144,105,105,1,4678,513.309,7.02,FALSE,High,Master Protein,1.994,0,1533.354956,25.69474134,106,144,1159,1976.9,2606.6,2865,3127.1,4804,4690.7,5041.5,5684.7,2552.4,824.7
P51659,Peroxisomal multifunctional enzyme type 2 OS=Homo sapiens OX=9606 GN=HSD17B4 PE=1 SV=3,382.311665,64.26630435,38,156,37,38,1,736,79.636,8.84,FALSE,High,Master Protein,93.901,0,2749.68738,64.26630435,38,156,1895.6,3833.6,6776.6,7977.4,11342.1,10417.3,4549.9,1816.5,1414.9,1425.3,1578
Q99460,26S proteasome non-ATPase regulatory subunit 1 OS=Homo sapiens OX=9606 GN=PSMD1 PE=1 SV=2,381.3852877,56.97796432,47,126,47,47,1,953,105.769,5.39,FALSE,High,Master Protein,54.649,0,2487.732255,56.97796432,47,126,729.4,914.5,945.7,1055,1188.4,1621.6,1424.2,2248.8,4618.6,22513.6,1634
Q5UIP0,Telomere-associated protein RIF1 OS=Homo sapiens OX=9606 GN=RIF1 PE=1 SV=2,380.8016521,41.302589,81,123,80,80,1,2472,274.294,5.52,FALSE,High,Master Protein,4.144,1,1746.39743,41.302589,81,123,12348.1,3428.8,2688.7,2033.3,1913.6,2645.2,2448,2320.7,2079,1340.9,851.5
P25205,DNA replication licensing factor MCM3 OS=Homo sapiens OX=9606 GN=MCM3 PE=1 SV=3,379.1561444,69.92574257,49,128,49,49,1,808,90.924,5.77,FALSE,High,Master Protein,49.322,0,2123.517029,69.92574257,49,128,2669.6,1473.2,1527.5,1571.5,1769.4,2943.4,2911.6,3876.2,6702.5,10648.5,3303.7
