UniProt Accession for Protein Group,UniProt Protein Description,Peptides,PSMs,Protein Coverage (%),Normalized TMT 10-plex reporter ion distribution,,,,,,,,,
,,,,,126,127N,127C,128N,128C,129N,129C,130N,130C,131
Q9JHU4,Cytoplasmic dynein 1 heavy chain 1 GN=Dync1h1 PE=1 SV=2 - [DYHC1_MOUSE],175,322,48.6,0.028,0.034,0.024,0.014,0.026,0.045,0.107,0.341,0.059,0.321
Q9QXS1-3,Isoform PLEC-1 of Plectin GN=Plec - [PLEC_MOUSE]|Isoform PLEC-1A of Plectin GN=Plec - [PLEC_MOUSE],123,174,34.8,0.039,0.134,0.095,0.053,0.084,0.121,0.107,0.128,0.122,0.117
Q9ERU9,E3 SUMO-protein ligase RanBP2 GN=Ranbp2 PE=1 SV=2 - [RBP2_MOUSE],101,181,41.3,0.021,0.013,0.014,0.009,0.024,0.054,0.116,0.257,0.209,0.284
P26039,Talin-1 GN=Tln1 PE=1 SV=2 - [TLN1_MOUSE],101,167,55.3,0.120,0.255,0.148,0.091,0.135,0.095,0.041,0.057,0.014,0.043
Q8BTM8,Filamin-A GN=Flna PE=1 SV=5 - [FLNA_MOUSE],95,228,50.9,0.055,0.139,0.078,0.050,0.077,0.098,0.093,0.171,0.079,0.160
A2ARV4,Low-density lipoprotein receptor-related protein 2 GN=Lrp2 PE=1 SV=1 - [LRP2_MOUSE],85,119,28.2,0.000,0.085,0.223,0.166,0.292,0.107,0.041,0.051,0.000,0.036
Q80X90,Filamin-B GN=Flnb PE=1 SV=3 - [FLNB_MOUSE],81,156,42.6,0.136,0.189,0.106,0.063,0.100,0.113,0.067,0.080,0.076,0.071
Q68FD5,Clathrin heavy chain 1 GN=Cltc PE=1 SV=3 - [CLH1_MOUSE],80,156,65.8,0.131,0.173,0.106,0.065,0.128,0.182,0.095,0.044,0.046,0.031
Q07113,Cation-independent mannose-6-phosphate receptor GN=Igf2r PE=1 SV=1 - [MPRI_MOUSE],75,152,46.8,0.000,0.026,0.078,0.101,0.398,0.267,0.062,0.041,0.004,0.024
Q99PL5,Ribosome-binding protein 1 GN=Rrbp1 PE=2 SV=2 - [RRBP1_MOUSE],74,152,62.2,0.009,0.029,0.036,0.025,0.078,0.270,0.212,0.170,0.036,0.134
Q8VDD5,Myosin-9 GN=Myh9 PE=1 SV=4 - [MYH9_MOUSE],74,135,43.3,0.098,0.090,0.058,0.031,0.056,0.116,0.148,0.197,0.036,0.169
Q6PB66,"Leucine-rich PPR motif-containing protein, mitochondrial GN=Lrpprc PE=1 SV=2 - [LPPRC_MOUSE]",71,148,58.6,0.000,0.010,0.010,0.012,0.031,0.085,0.249,0.293,0.041,0.268
Q99PV0,Pre-mRNA-processing-splicing factor 8 GN=Prpf8 PE=1 SV=2 - [PRP8_MOUSE],71,105,40.3,0.202,0.013,0.026,0.007,0.019,0.022,0.034,0.112,0.311,0.254
P11276,Fibronectin GN=Fn1 PE=1 SV=4 - [FINC_MOUSE],64,100,41.9,0.000,0.049,0.130,0.104,0.237,0.154,0.099,0.103,0.039,0.085
Q6PR54,Telomere-associated protein RIF1 GN=Rif1 PE=1 SV=2 - [RIF1_MOUSE],62,112,34.8,0.025,0.000,0.003,0.000,0.005,0.031,0.126,0.330,0.184,0.298
Q05793,Basement membrane-specific heparan sulfate proteoglycan core protein GN=Hspg2 PE=1 SV=1 - [PGBM_MOUSE],61,83,27.3,0.002,0.047,0.110,0.080,0.198,0.195,0.105,0.130,0.022,0.111
Q71LX4,Talin-2 GN=Tln2 PE=1 SV=3 - [TLN2_MOUSE],60,93,39.9,0.018,0.276,0.159,0.105,0.145,0.109,0.052,0.061,0.023,0.052
P19096,Fatty acid synthase GN=Fasn PE=1 SV=2 - [FAS_MOUSE],57,96,40.4,0.454,0.152,0.133,0.064,0.084,0.048,0.021,0.019,0.007,0.018
Q9WTQ5,A-kinase anchor protein 12 GN=Akap12 PE=1 SV=1 - [AKA12_MOUSE],56,114,50.3,0.159,0.186,0.130,0.075,0.095,0.082,0.099,0.094,0.000,0.079
Q9JKF1,Ras GTPase-activating-like protein IQGAP1 GN=Iqgap1 PE=1 SV=2 - [IQGA1_MOUSE],56,110,45.3,0.076,0.328,0.166,0.115,0.152,0.093,0.032,0.018,0.004,0.016
Q8CG48,Structural maintenance of chromosomes protein 2 GN=Smc2 PE=1 SV=2 - [SMC2_MOUSE],56,106,46.9,0.082,0.041,0.033,0.018,0.035,0.055,0.102,0.248,0.118,0.269
Q9QZQ1-2,Isoform 1 of Afadin GN=Mllt4 - [AFAD_MOUSE],56,105,42.7,0.041,0.300,0.182,0.114,0.158,0.104,0.039,0.027,0.011,0.023
Q7TPV4,Myb-binding protein 1A GN=Mybbp1a PE=1 SV=2 - [MBB1A_MOUSE],55,101,55.5,0.168,0.007,0.018,0.004,0.012,0.019,0.043,0.175,0.345,0.209
A2AGT5,Cytoskeleton-associated protein 5 GN=Ckap5 PE=2 SV=1 - [CKAP5_MOUSE],55,96,30.2,0.032,0.040,0.025,0.017,0.029,0.052,0.108,0.322,0.093,0.283
Q6NS46,Protein RRP5 homolog GN=Pdcd11 PE=2 SV=2 - [RRP5_MOUSE],54,88,36.5,0.134,0.004,0.015,0.004,0.015,0.021,0.046,0.185,0.350,0.226
Q91ZU6-4,Isoform 4 of Dystonin GN=Dst - [DYST_MOUSE],53,62,11.5,0.070,0.131,0.088,0.044,0.066,0.149,0.134,0.125,0.094,0.099
Q61879,Myosin-10 GN=Myh10 PE=1 SV=2 - [MYH10_MOUSE],52,88,34.9,0.061,0.079,0.055,0.033,0.054,0.158,0.180,0.168,0.068,0.145
P54276,DNA mismatch repair protein Msh6 GN=Msh6 PE=1 SV=3 - [MSH6_MOUSE],51,106,52.9,0.149,0.006,0.015,0.003,0.009,0.027,0.106,0.306,0.101,0.278
Q9CU62,Structural maintenance of chromosomes protein 1A GN=Smc1a PE=1 SV=4 - [SMC1A_MOUSE],50,94,49.5,0.048,0.007,0.008,0.003,0.012,0.032,0.111,0.282,0.225,0.272
Q6P5E4,UDP-glucose:glycoprotein glucosyltransferase 1 GN=Uggt1 PE=1 SV=4 - [UGGG1_MOUSE],49,88,48.8,0.027,0.058,0.062,0.048,0.146,0.253,0.139,0.150,0.000,0.118
O88307,Sortilin-related receptor GN=Sorl1 PE=2 SV=3 - [SORL_MOUSE],49,79,30.7,0.000,0.026,0.102,0.130,0.449,0.182,0.052,0.036,0.000,0.023
P46735,Unconventional myosin-Ib GN=Myo1b PE=2 SV=3 - [MYO1B_MOUSE],48,94,52.8,0.008,0.318,0.197,0.130,0.185,0.089,0.028,0.017,0.018,0.009
Q01320,DNA topoisomerase 2-alpha GN=Top2a PE=1 SV=2 - [TOP2A_MOUSE],48,92,48.2,0.011,0.001,0.004,0.001,0.007,0.027,0.106,0.324,0.220,0.299
Q5XG71,Small subunit processome component 20 homolog GN=Utp20 PE=2 SV=2 - [UTP20_MOUSE],48,64,24.7,0.134,0.006,0.015,0.004,0.016,0.025,0.049,0.191,0.297,0.263
Q60767,Lymphocyte antigen 75 GN=Ly75 PE=1 SV=2 - [LY75_MOUSE],47,86,45.7,0.000,0.131,0.138,0.118,0.338,0.157,0.058,0.036,0.000,0.024
Q9CW03,Structural maintenance of chromosomes protein 3 GN=Smc3 PE=1 SV=2 - [SMC3_MOUSE],47,77,41.2,0.054,0.017,0.018,0.009,0.019,0.039,0.091,0.274,0.200,0.280
P58252,Elongation factor 2 GN=Eef2 PE=1 SV=2 - [EF2_MOUSE],46,117,57.2,0.291,0.093,0.091,0.049,0.074,0.075,0.052,0.081,0.029,0.164
P16546;P16546-2,"Spectrin alpha chain, non-erythrocytic 1 GN=Sptan1 PE=1 SV=4 - [SPTN1_MOUSE]|Isoform 2 of Spectrin alpha chain, non-erythrocytic 1 GN=Sptan1 - [SPTN1_MOUSE]",46,58,35.2,0.000,0.136,0.082,0.034,0.069,0.185,0.167,0.136,0.067,0.125
P09405,Nucleolin GN=Ncl PE=1 SV=2 - [NUCL_MOUSE],45,116,42.7,0.402,0.017,0.042,0.008,0.015,0.025,0.040,0.075,0.297,0.077
Q6ZQ38,Cullin-associated NEDD8-dissociated protein 1 GN=Cand1 PE=2 SV=2 - [CAND1_MOUSE],45,93,43.0,0.216,0.129,0.092,0.064,0.093,0.070,0.055,0.127,0.042,0.111
Q5FWI3,Transmembrane protein 2 GN=Tmem2 PE=1 SV=1 - [TMEM2_MOUSE],45,84,43.3,0.000,0.183,0.170,0.119,0.250,0.136,0.056,0.046,0.010,0.029
Q9Z0U1,Tight junction protein ZO-2 GN=Tjp2 PE=1 SV=2 - [ZO2_MOUSE],45,81,46.4,0.058,0.236,0.149,0.100,0.149,0.118,0.058,0.057,0.031,0.044
P51432,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 GN=Plcb3 PE=2 SV=2 - [PLCB3_MOUSE]",45,65,42.1,0.011,0.301,0.214,0.134,0.188,0.075,0.027,0.024,0.008,0.018
P26231,Catenin alpha-1 GN=Ctnna1 PE=1 SV=1 - [CTNA1_MOUSE],44,139,68.9,0.008,0.282,0.188,0.113,0.173,0.119,0.053,0.031,0.009,0.024
G5E870,E3 ubiquitin-protein ligase TRIP12 GN=Trip12 PE=1 SV=1 - [TRIPC_MOUSE],44,67,27.5,0.167,0.088,0.078,0.036,0.058,0.043,0.057,0.163,0.146,0.164
Q6P5D8,Structural maintenance of chromosomes flexible hinge domain-containing protein 1 GN=Smchd1 PE=1 SV=2 - [SMHD1_MOUSE],44,52,32.2,0.052,0.006,0.008,0.000,0.011,0.028,0.072,0.315,0.214,0.295
P38647,"Stress-70 protein, mitochondrial GN=Hspa9 PE=1 SV=3 - [GRP75_MOUSE]",43,114,61.7,0.000,0.013,0.013,0.011,0.031,0.095,0.288,0.280,0.017,0.253
P02468,Laminin subunit gamma-1 GN=Lamc1 PE=1 SV=2 - [LAMC1_MOUSE],43,73,38.7,0.015,0.048,0.082,0.057,0.153,0.240,0.132,0.142,0.017,0.114
Q9JIK5,Nucleolar RNA helicase 2 GN=Ddx21 PE=1 SV=3 - [DDX21_MOUSE],42,93,55.3,0.154,0.006,0.017,0.005,0.013,0.021,0.056,0.168,0.398,0.164
Q64727,Vinculin GN=Vcl PE=1 SV=4 - [VINC_MOUSE],42,72,48.6,0.297,0.225,0.157,0.082,0.108,0.063,0.026,0.019,0.009,0.015
O08784,Treacle protein GN=Tcof1 PE=1 SV=1 - [TCOF_MOUSE],42,71,35.6,0.239,0.022,0.041,0.012,0.024,0.043,0.079,0.192,0.179,0.169
Q922D8,"C-1-tetrahydrofolate synthase, cytoplasmic GN=Mthfd1 PE=1 SV=4 - [C1TC_MOUSE]",41,93,45.1,0.151,0.127,0.109,0.053,0.091,0.107,0.062,0.097,0.025,0.177
O70318,Band 4.1-like protein 2 GN=Epb41l2 PE=1 SV=2 - [E41L2_MOUSE],41,77,55.0,0.012,0.299,0.185,0.126,0.176,0.113,0.044,0.026,0.007,0.013
Q9EP71,Ankycorbin GN=Rai14 PE=1 SV=1 - [RAI14_MOUSE],41,63,43.0,0.015,0.178,0.103,0.061,0.093,0.124,0.106,0.153,0.041,0.124
P20029,78 kDa glucose-regulated protein GN=Hspa5 PE=1 SV=3 - [GRP78_MOUSE],40,125,60.8,0.019,0.054,0.070,0.050,0.129,0.287,0.140,0.136,0.010,0.107
