Accession,Description,Sum_PEP_Score,Coverage,#Peptides,#PSMs,#Protein_Unique_Peptides,#Unique_Peptides,#Protein_Groups,#AAs,MW_kDa,calc_pI,Checked,Protein_FDR_Confidence,Master,emPAI,Razor_Peptides,Score_Mascot,Coverage_Mascot,#Peptides_Mascot,#PSMs_Mascot,TMT126,127N,127C,128N,128C,129N,129C,130N,130C,131N,131C
Q9UPN3,Microtubule-actin cross-linking factor 1  isoforms 1/2/3/5 OS=Homo sapiens OX=9606 GN=MACF1 PE=1 SV=4,1454.499798,41.17487818,276,454,258,259,1,7388,837.787,5.39,FALSE,High,Master Protein,5.186,17,7674.246153,41.17487818,276,454,12923,19975.4,20940.9,24286.7,22740.9,23362.2,25515.7,27885.7,24687.1,21220.2,6465.8
Q09666,Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2,1363.99638,67.24957555,229,469,228,228,1,5890,628.699,6.15,FALSE,High,Master Protein,6.017,0,7321.957937,67.24957555,229,469,5807.7,26964.7,28850.2,36461.1,33678.7,29780.9,24747.9,14839.4,8293,6160,4594.8
Q14789,Golgin subfamily B member 1 OS=Homo sapiens OX=9606 GN=GOLGB1 PE=1 SV=2,1265.21988,65.8177355,207,410,197,198,1,3259,375.79,5,FALSE,High,Master Protein,20.616,7,6573.013054,65.8177355,207,410,5993.4,18540.2,27647.1,38765.7,31593.8,24025.3,22779.7,17160.4,12466,8244.1,5364.3
Q9NU22,Midasin OS=Homo sapiens OX=9606 GN=MDN1 PE=1 SV=2,1227.490813,40.81486776,203,381,201,202,1,5596,632.42,5.68,FALSE,High,Master Protein,7.686,1,6574.179935,40.81486776,203,381,15620.7,6362.2,7079.9,8026.8,9428.3,14480.8,18285.7,26866.6,43242.8,35717.1,4534.4
P35580,Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3,1202.140201,61.79149798,137,450,99,99,1,1976,228.858,5.54,FALSE,High,Master Protein,171.274,41,7944.340005,61.79149798,137,450,14495.5,30093.2,29333.2,35221.6,34724.8,35739.1,34648.6,22295.3,12192.1,11157,22008.1
Q86UP2,Kinectin OS=Homo sapiens OX=9606 GN=KTN1 PE=1 SV=1,830.0732423,73.10243183,110,349,109,109,1,1357,156.179,5.64,FALSE,High,Master Protein,157.489,1,5895.388735,73.10243183,110,349,7435.2,16312.8,24130.8,40238.5,50410.5,39931.4,30357.4,11934.5,5635.6,4063,3681.9
Q03001,Dystonin OS=Homo sapiens OX=9606 GN=DST PE=1 SV=4,787.027244,26.69749009,193,275,176,176,1,7570,860.127,5.25,FALSE,High,Master Protein,2.002,3,3529.480956,26.69749009,193,275,10529.7,10397.4,11022.7,12667.1,12762,12620.8,12493.9,10555.3,9986.9,9027.5,4754
P16615,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1,771.5369522,53.07101727,58,509,33,33,1,1042,114.683,5.34,FALSE,High,Master Protein,1466.799,36,9568.420067,53.07101727,58,509,9074.9,13449.7,17751.7,27902.2,37373.8,36536,31010.4,13814.5,6791.9,5075.9,4898.9
P12270,Nucleoprotein TPR OS=Homo sapiens OX=9606 GN=TPR PE=1 SV=3,770.4252746,50.78290309,127,250,117,118,1,2363,267.131,5.02,FALSE,High,Master Protein,28.866,7,3856.649711,50.78290309,127,250,26568.4,7094.8,6448.4,6405.6,6561.5,8892.2,11654.2,16721.7,18556.2,14770.1,12511
P46939,Utrophin OS=Homo sapiens OX=9606 GN=UTRN PE=1 SV=2,750.8012126,47.91727352,145,216,136,137,1,3433,394.22,5.33,FALSE,High,Master Protein,7.328,7,3721.080439,47.91727352,145,216,2885.8,12538.6,13768.4,17648.2,17854.2,15334.6,12653.6,7125.1,5537.7,5099.8,5069.6
Q8WXH0,Nesprin-2 OS=Homo sapiens OX=9606 GN=SYNE2 PE=1 SV=3,739.2550749,28.9469862,194,248,181,184,1,6885,795.944,5.36,FALSE,High,Master Protein,1.965,7,2972.385702,28.9469862,194,248,19291.1,8004.5,8714.8,10972.7,12813.8,12390.7,11212.3,6872.4,5125.1,4577.5,4833.5
Q00341,Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2,734.801416,66.7192429,86,357,83,83,1,1268,141.368,6.87,FALSE,High,Master Protein,261.877,3,4736.449937,66.7192429,86,357,4901.9,9101.2,12138,18176,22219,22667.6,23598.1,24093.5,16830.4,10923.8,4310.7
P05023,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens OX=9606 GN=ATP1A1 PE=1 SV=1,726.6400861,55.32746823,64,542,37,39,1,1023,112.824,5.49,FALSE,High,Master Protein,1626.565,34,8506.023539,55.32746823,64,542,4758.9,22482.7,26363.4,36290.3,36393.3,34492.4,29036.7,16371,8115.9,5140.8,4438.9
P63261,Actin  cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1,723.285803,80.26666667,31,1172,2,2,1,375,41.766,5.48,FALSE,High,Master Protein,2721337.768,0,26258.05737,80.26666667,31,1172,309.1,913.4,1165.6,2168.3,3256.8,2855.4,1931,737.7,878.9,711.4,4797.9
Q9P2E9,Ribosome-binding protein 1 OS=Homo sapiens OX=9606 GN=RRBP1 PE=1 SV=5,703.981405,78.36879433,106,285,102,104,1,1410,152.365,8.6,FALSE,High,Master Protein,50.179,1,3739.760575,78.36879433,106,285,4801.1,10755.9,15001.2,23095.7,26976,21610.9,16727,7685.9,4300.3,2992,1997.2
Q5JRA6,Transport and Golgi organization protein 1 homolog OS=Homo sapiens OX=9606 GN=MIA3 PE=1 SV=1,696.7932677,54.53592029,90,236,89,89,1,1907,213.57,4.84,FALSE,High,Master Protein,22.495,0,4080.176167,54.53592029,90,236,3219.5,6901.2,9825.7,16002.6,21762,19785,15658.2,6027.5,2786.5,2241.7,2121.1
Q14573,Inositol 1 4 5-trisphosphate receptor type 3 OS=Homo sapiens OX=9606 GN=ITPR3 PE=1 SV=2,673.9499808,41.55746911,102,226,87,87,1,2671,303.912,6.48,FALSE,High,Master Protein,11.703,18,3357.650522,41.55746911,102,226,3415.2,7721.6,9943.4,14613.2,18424.8,17521.4,15004.6,7559,4244.6,3299.2,2975.2
P11717,Cation-independent mannose-6-phosphate receptor OS=Homo sapiens OX=9606 GN=IGF2R PE=1 SV=3,645.1523513,50.54195102,102,198,101,101,1,2491,274.199,5.94,FALSE,High,Master Protein,10.176,1,3568.14979,50.54195102,102,198,2144.6,4719.7,5526.4,8053.7,11844.9,17831.6,19429.1,19820.9,11029.6,3202.9,2088.7
O43491,Band 4.1-like protein 2 OS=Homo sapiens OX=9606 GN=EPB41L2 PE=1 SV=1,628.8699724,65.37313433,65,229,59,59,1,1005,112.519,5.44,FALSE,High,Master Protein,181.616,6,3984.352839,65.37313433,65,229,2758.5,15336.5,16743.3,21779.4,21785.4,19361.4,17495.7,9700.4,5252,3495.9,4337.2
Q15154,Pericentriolar material 1 protein OS=Homo sapiens OX=9606 GN=PCM1 PE=1 SV=5,626.8609539,51.48221344,87,231,84,84,1,2024,228.403,5.02,FALSE,High,Master Protein,27.596,4,3442.944784,51.48221344,87,231,2942.9,7287,6005.4,6473.2,6878.6,9512.9,11589.3,12558.7,9888,5260.4,2571.5
Q5T4S7,E3 ubiquitin-protein ligase UBR4 OS=Homo sapiens OX=9606 GN=UBR4 PE=1 SV=1,618.6158495,27.45514181,122,181,121,121,1,5183,573.476,6.04,FALSE,High,Master Protein,2.839,1,2961.110669,27.45514181,122,181,2353.1,3089,3354.2,4312.9,4580.9,5596.7,5950,6903.8,11506.1,25695.2,13585.3
P06576,ATP synthase subunit beta  mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3,611.0350983,77.69376181,30,622,30,30,1,529,56.525,5.4,FALSE,High,Master Protein,8001.502,0,7789.999431,77.69376181,30,622,4245,49027.8,47880.9,29789.9,9472.5,5752.8,4802.5,4642.4,4538,4681.6,4002.2
O95714,E3 ubiquitin-protein ligase HERC2 OS=Homo sapiens OX=9606 GN=HERC2 PE=1 SV=2,610.2661147,30.59577989,128,196,108,125,1,4834,526.895,6.28,FALSE,High,Master Protein,3.149,2,2846.304136,30.59577989,128,196,2769.2,4608.7,5478.5,7188.6,8860.5,9524.7,8952.5,6890,9611.7,13203.9,2280.6
A5YKK6,CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2,588.6330742,43.8973064,99,196,98,99,1,2376,266.768,7.11,FALSE,High,Master Protein,12.174,0,3303.065901,43.8973064,99,196,2715.3,4477.1,5095.6,6667.1,8630.3,12939.7,16752.2,23197,15230.6,6086.7,2157.9
Q14683,Structural maintenance of chromosomes protein 1A OS=Homo sapiens OX=9606 GN=SMC1A PE=1 SV=2,582.7106685,65.85563666,96,244,88,88,1,1233,143.144,7.64,FALSE,High,Master Protein,84.471,8,3457.125731,65.85563666,96,244,32096.8,10478.2,10515.4,10667.9,11212.1,14270.3,16769,20001.5,23178,19006.5,2522.9
Q9NR30,Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5,577.6109572,67.30523627,56,332,53,53,1,783,87.29,9.28,FALSE,High,Master Protein,1973.488,5,4844.231788,67.30523627,56,332,40861.4,7092.6,8762.9,8963.3,9636.3,14197.1,17279.2,28718.2,50234.8,28412.8,3754.1
P11388,DNA topoisomerase 2-alpha OS=Homo sapiens OX=9606 GN=TOP2A PE=1 SV=3,567.7915787,55.32331809,85,228,66,66,1,1531,174.276,8.72,FALSE,High,Master Protein,52.85,24,3251.096083,55.32331809,85,228,58555.7,13415.8,11639.2,9177.9,7953.3,7605.7,7792.9,7066.1,6781.9,5528.6,2670.9
