UniProt Accession for Protein Group,UniProt Protein Description,Peptides,PSMs,Protein Coverage (%),Normalized TMT 10-plex reporter ion distribution,,,,,,,,,
,,,,,126,127N,127C,128N,128C,129N,129C,130N,130C,131
Q9QXS1-3,Isoform PLEC-1A of Plectin OS=Mus musculus GN=Plec [PLEC_MOUSE],229,250,54.5,0.158,0.000,0.012,0.004,0.063,0.167,0.156,0.131,0.293,0.015
Q9JHU4,Cytoplasmic dynein 1 heavy chain 1 OS=Mus musculus GN=Dync1h1 PE=1 SV=2 [DYHC1_MOUSE],215,271,56.1,0.034,0.000,0.001,0.000,0.014,0.067,0.131,0.334,0.404,0.013
Q9ERU9,E3 SUMO-protein ligase RanBP2 OS=Mus musculus GN=Ranbp2 PE=1 SV=2 [RBP2_MOUSE],129,149,50.8,0.021,0.000,0.000,0.002,0.033,0.173,0.258,0.143,0.363,0.008
A2ARV4,Low-density lipoprotein receptor-related protein 2 OS=Mus musculus GN=Lrp2 PE=1 SV=1 [LRP2_MOUSE],127,148,33.8,0.008,0.004,0.010,0.020,0.210,0.295,0.258,0.123,0.069,0.005
Q8VDD5,Myosin-9 OS=Mus musculus GN=Myh9 PE=1 SV=4 [MYH9_MOUSE],126,207,53.6,0.069,0.000,0.005,0.003,0.048,0.188,0.240,0.302,0.129,0.014
Q8BTM8,Filamin-A OS=Mus musculus GN=Flna PE=1 SV=5 [FLNA_MOUSE],123,179,56.7,0.100,0.001,0.009,0.002,0.039,0.097,0.141,0.245,0.352,0.014
Q80X90,Filamin-B OS=Mus musculus GN=Flnb PE=1 SV=3 [FLNB_MOUSE],116,141,60.2,0.355,0.002,0.025,0.004,0.044,0.089,0.095,0.160,0.215,0.011
Q61879,Myosin-10 OS=Mus musculus GN=Myh10 PE=1 SV=2 [MYH10_MOUSE],106,143,49.3,0.076,0.000,0.006,0.005,0.059,0.236,0.231,0.260,0.114,0.013
Q91ZU6-4,Isoform 4 of Dystonin OS=Mus musculus GN=Dst [DYST_MOUSE],106,108,19.4,0.199,0.000,0.015,0.002,0.047,0.181,0.149,0.169,0.228,0.010
E9Q557,Desmoplakin OS=Mus musculus GN=Dsp PE=1 SV=1 [DESP_MOUSE],104,108,43.9,0.082,0.000,0.007,0.005,0.079,0.201,0.139,0.118,0.360,0.009
P26039,Talin-1 OS=Mus musculus GN=Tln1 PE=1 SV=2 [TLN1_MOUSE],101,114,51.9,0.371,0.003,0.027,0.003,0.060,0.107,0.087,0.148,0.184,0.009
Q99PV0,Pre-mRNA-processing-splicing factor 8 OS=Mus musculus GN=Prpf8 PE=1 SV=2 [PRP8_MOUSE],100,121,53.1,0.158,0.000,0.009,0.000,0.005,0.018,0.042,0.054,0.710,0.004
Q5XG71,Small subunit processome component 20 homolog OS=Mus musculus GN=Utp20 PE=2 SV=2 [UTP20_MOUSE],92,97,43.3,0.087,0.000,0.005,0.000,0.003,0.017,0.043,0.097,0.743,0.005
A2AN08-3,Isoform 3 of E3 ubiquitin-protein ligase UBR4 OS=Mus musculus GN=Ubr4 [UBR4_MOUSE],89,90,25.1,0.526,0.000,0.032,0.000,0.017,0.040,0.046,0.063,0.275,0.002
Q6PR54,Telomere-associated protein RIF1 OS=Mus musculus GN=Rif1 PE=1 SV=2 [RIF1_MOUSE],84,103,38.3,0.045,0.000,0.003,0.001,0.016,0.083,0.152,0.412,0.267,0.022
Q6ZQ08,CCR4-NOT transcription complex subunit 1 OS=Mus musculus GN=Cnot1 PE=1 SV=2 [CNOT1_MOUSE],84,90,41.3,0.112,0.000,0.007,0.000,0.017,0.068,0.086,0.073,0.635,0.004
P19096,Fatty acid synthase OS=Mus musculus GN=Fasn PE=1 SV=2 [FAS_MOUSE],83,95,45.7,0.773,0.002,0.049,0.000,0.024,0.043,0.032,0.033,0.044,0.000
Q99PL5,Ribosome-binding protein 1 OS=Mus musculus GN=Rrbp1 PE=1 SV=2 [RRBP1_MOUSE],82,95,62.2,0.012,0.000,0.002,0.008,0.096,0.309,0.294,0.151,0.122,0.007
Q6NS46,Protein RRP5 homolog OS=Mus musculus GN=Pdcd11 PE=2 SV=2 [RRP5_MOUSE],78,94,45.9,0.091,0.000,0.005,0.000,0.003,0.014,0.038,0.114,0.729,0.007
Q05793,Basement membrane-specific heparan sulfate proteoglycan core protein OS=Mus musculus GN=Hspg2 PE=1 SV=1 [PGBM_MOUSE],77,85,31.5,0.019,0.003,0.007,0.015,0.113,0.312,0.280,0.140,0.103,0.007
Q6P5D8,Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Mus musculus GN=Smchd1 PE=1 SV=2 [SMHD1_MOUSE],76,84,46.4,0.071,0.000,0.004,0.000,0.016,0.063,0.124,0.316,0.389,0.017
A2AQ25,Sickle tail protein OS=Mus musculus GN=Skt PE=1 SV=1 [SKT_MOUSE],75,82,44.6,0.135,0.004,0.017,0.011,0.085,0.160,0.128,0.105,0.339,0.015
A2AGT5,Cytoskeleton-associated protein 5 OS=Mus musculus GN=Ckap5 PE=2 SV=1 [CKAP5_MOUSE],75,80,49.1,0.096,0.000,0.007,0.000,0.022,0.082,0.127,0.417,0.230,0.018
Q9WTQ5,A-kinase anchor protein 12 OS=Mus musculus GN=Akap12 PE=1 SV=1 [AKA12_MOUSE],74,102,58.2,0.461,0.003,0.038,0.006,0.051,0.127,0.173,0.090,0.048,0.002
