Accession,Description,Sum_PEP_Score,Coverage,#Peptides,#PSMs,#Protein_Unique_Peptides,#Unique_Peptides,#Protein_Groups,#AAs,MW_kDa,calc_pI,Checked,Protein_FDR_Confidence,Master,emPAI,Razor_Peptides,Score_Mascot,Coverage_Mascot,#Peptides_Mascot,#PSMs_Mascot,TMT126,127N,127C,128N,128C,129N,129C,130N,130C,131N,131C
Q9UPN3,Microtubule-actin cross-linking factor 1  isoforms 1/2/3/5 OS=Homo sapiens OX=9606 GN=MACF1 PE=1 SV=4,1097.657996,35.9501895,249,388,235,235,1,7388,837.787,5.39,FALSE,High,Master Protein,3.865,13,5620.883252,35.9501895,249,388,7858.6,9203.5,12186.1,15256.8,15776.5,14290.1,14064.7,14434.3,15306,13241.6,3958.4
Q09666,Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2,1011.844477,63.6672326,213,394,211,211,1,5890,628.699,6.15,FALSE,High,Master Protein,4.592,1,5122.971162,63.6672326,213,394,3716.6,9251.8,14239.7,21340.1,22627.4,20857.9,15872.2,8453.6,4851.8,3672.3,2842.4
P35580,Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3,1003.117631,60.32388664,129,434,95,95,1,1976,228.858,5.54,FALSE,High,Master Protein,150.741,13,7333.852272,60.32388664,129,434,7081.4,12422.9,16505.4,20366.2,22071.9,20190.6,17093.3,10139.6,6103.9,5143.9,11529
Q9NU22,Midasin OS=Homo sapiens OX=9606 GN=MDN1 PE=1 SV=2,928.7613172,37.81272337,194,340,193,193,1,5596,632.42,5.68,FALSE,High,Master Protein,6.284,0,5077.896465,37.81272337,194,340,9732.4,5078.5,5505.2,5740.2,6509.6,8025.6,9992,13451.4,28127.7,23464.3,3504.2
Q14789,Golgin subfamily B member 1 OS=Homo sapiens OX=9606 GN=GOLGB1 PE=1 SV=2,854.2956577,58.94446149,183,300,174,175,1,3259,375.79,5,FALSE,High,Master Protein,12.369,8,3846.660974,58.94446149,183,300,2877.3,7030.3,12442.2,17252.2,15907.3,12273.4,10737.4,8196,6502.6,4433.4,3118.8
Q8WXH0,Nesprin-2 OS=Homo sapiens OX=9606 GN=SYNE2 PE=1 SV=3,719.5067308,32.67973856,212,272,199,201,1,6885,795.944,5.36,FALSE,High,Master Protein,2.373,7,2855.683289,32.67973856,212,272,14494.4,7466.5,7873.7,8283.5,8550.8,8037.3,6972,4723.6,3832.9,3705.2,3310.1
Q03001,Dystonin OS=Homo sapiens OX=9606 GN=DST PE=1 SV=4,700.3016068,25.41611625,189,262,174,174,1,7570,860.127,5.25,FALSE,High,Master Protein,1.96,4,3176.276205,25.41611625,189,262,6566.7,5970.6,7262.2,8487,9040.8,8350.8,7320.9,6015.7,6626.6,5727.7,3667.2
P12270,Nucleoprotein TPR OS=Homo sapiens OX=9606 GN=TPR PE=1 SV=3,682.4092782,53.49132459,135,242,128,129,1,2363,267.131,5.02,FALSE,High,Master Protein,29.358,6,3426.269971,53.49132459,135,242,18475.5,8782.7,8113.4,7165.8,6645.8,6756.3,8122.8,10645.5,14700.7,10516.4,7823.5
Q86UP2,Kinectin OS=Homo sapiens OX=9606 GN=KTN1 PE=1 SV=1,666.4791443,69.41783346,104,268,103,103,1,1357,156.179,5.64,FALSE,High,Master Protein,126.427,1,4280.198883,69.41783346,104,268,4103.3,6559.9,11411.9,19951.2,26560.2,24935.9,18795.5,8843.6,3741.6,2792.4,2656
P46939,Utrophin OS=Homo sapiens OX=9606 GN=UTRN PE=1 SV=2,612.6550287,44.24701427,137,208,129,129,1,3433,394.22,5.33,FALSE,High,Master Protein,6.892,8,3329.804652,44.24701427,137,208,1540.9,4006.6,6738.5,10499.7,12819.7,11155.9,8440.6,4292.1,3240,3034.9,2761.3
Q9P2E9,Ribosome-binding protein 1 OS=Homo sapiens OX=9606 GN=RRBP1 PE=1 SV=5,586.2875413,75.88652482,97,230,94,95,1,1410,152.365,8.6,FALSE,High,Master Protein,42.288,1,2982.045817,75.88652482,97,230,3609.1,5438.4,8625.5,14025.9,18192.9,17387.1,13184.6,6630.5,3539.8,2579.9,2283.6
P05023,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens OX=9606 GN=ATP1A1 PE=1 SV=1,574.242744,55.32746823,62,421,36,37,1,1023,112.824,5.49,FALSE,High,Master Protein,1141.069,36,7744.493285,55.32746823,62,421,2142.6,6731.1,11667,18717.2,22826.6,20880,16725.9,9166.2,4583.1,2814,2112.6
P16615,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1,555.3902056,50.76775432,53,317,31,35,1,1042,114.683,5.34,FALSE,High,Master Protein,443.783,29,5601.346527,50.76775432,53,317,5644.9,6500.1,9653.2,14941.5,20376.5,21858.6,18167.3,9660.8,4039.2,2568.4,2151
P63261,Actin  cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1,552.4926521,80.53333333,32,915,3,3,1,375,41.766,5.48,FALSE,High,Master Protein,367465.194,60,15150.68005,80.53333333,32,915,6014.9,12033.5,17665.5,29825,44495.4,44584.7,30133.5,12513.4,14005.4,10718.5,64973.8
Q00341,Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2,532.7366757,60.56782334,79,238,76,76,1,1268,141.368,6.87,FALSE,High,Master Protein,85.75,2,3327.907938,60.56782334,79,238,2315.3,3513.4,5545,8671.6,11561.6,12610,12541.4,12576,9862.5,6138.6,1744
P11388,DNA topoisomerase 2-alpha OS=Homo sapiens OX=9606 GN=TOP2A PE=1 SV=3,521.5586017,56.30306989,85,280,67,67,1,1531,174.276,8.72,FALSE,High,Master Protein,71.479,19,3261.69419,56.30306989,85,280,37285.4,15508.5,14354.1,11774.7,9947.4,7915.3,6959,5456.6,5168.5,3986.9,1995.3
Q5JRA6,Transport and Golgi organization protein 1 homolog OS=Homo sapiens OX=9606 GN=MIA3 PE=1 SV=1,509.2633691,56.52857892,93,191,92,92,1,1907,213.57,4.84,FALSE,High,Master Protein,16.783,0,2773.192544,56.52857892,93,191,2249.9,3568.8,5766,9350.6,13133.7,13648.1,10971.8,5368,2174.6,1683.1,1431.9
Q14839,Chromodomain-helicase-DNA-binding protein 4 OS=Homo sapiens OX=9606 GN=CHD4 PE=1 SV=2,496.6993872,49.5292887,88,215,66,73,1,1912,217.867,5.86,FALSE,High,Master Protein,27.651,15,2991.901992,49.5292887,88,215,25286.6,10092.6,9315.9,7663.1,6708.7,5407.4,4408.9,2948,2633.6,2156.9,1750.2
Q5T4S7,E3 ubiquitin-protein ligase UBR4 OS=Homo sapiens OX=9606 GN=UBR4 PE=1 SV=1,493.1153995,26.20104187,115,173,113,113,1,5183,573.476,6.04,FALSE,High,Master Protein,2.506,2,2418.797711,26.20104187,115,173,1684.3,1921.2,2257.3,2635.4,2864.1,3001.2,3286.1,3765.8,7548.5,17532.7,9546
O43491,Band 4.1-like protein 2 OS=Homo sapiens OX=9606 GN=EPB41L2 PE=1 SV=1,483.8333857,65.37313433,62,218,56,56,1,1005,112.519,5.44,FALSE,High,Master Protein,157.489,6,3176.680286,65.37313433,62,218,1803.7,5703.8,9874.2,14942.4,16523.4,14223.7,11344.7,6160.5,3389.3,2109.1,3593.4
Q5UIP0,Telomere-associated protein RIF1 OS=Homo sapiens OX=9606 GN=RIF1 PE=1 SV=2,483.0063357,46.15695793,97,166,96,96,1,2472,274.294,5.52,FALSE,High,Master Protein,9.67,1,2229.080249,46.15695793,97,166,18326.4,6740.2,6277,5380.1,4796.3,4209.1,3739.3,3111.1,2767.5,2102.5,1214.9
Q9UQE7,Structural maintenance of chromosomes protein 3 OS=Homo sapiens OX=9606 GN=SMC3 PE=1 SV=2,475.2397042,61.29827445,86,198,83,83,1,1217,141.454,7.18,FALSE,High,Master Protein,70.393,4,2861.265784,61.29827445,86,198,16139.9,7586.7,8138,7926.8,7904.7,7890.2,8382.8,8820,11700.6,9326.2,1799.8
P49454,Centromere protein F OS=Homo sapiens OX=9606 GN=CENPF PE=1 SV=3,475.0983304,42.87090559,137,185,126,128,1,3114,357.306,5.1,FALSE,High,Master Protein,4.036,8,1931.555383,42.87090559,137,185,10048.1,6593.9,6813.5,5431.9,4120.3,4033.6,4035.7,4026.3,3396,2751.6,1370.6
Q14683,Structural maintenance of chromosomes protein 1A OS=Homo sapiens OX=9606 GN=SMC1A PE=1 SV=2,471.7342365,64.88240065,94,233,87,91,1,1233,143.144,7.64,FALSE,High,Master Protein,70.166,2,2755.692485,64.88240065,94,233,20121.4,8799.9,9220.7,8825.9,8977.3,9072.4,9669.9,10207.4,13751.6,11426.3,1973.1
P11717,Cation-independent mannose-6-phosphate receptor OS=Homo sapiens OX=9606 GN=IGF2R PE=1 SV=3,466.6887943,45.28301887,94,164,92,94,1,2491,274.199,5.94,FALSE,High,Master Protein,8.091,0,2492.682743,45.28301887,94,164,1643.1,2418.2,3449.7,4689.8,6950.2,9540.3,11324.3,11856.9,7900.5,2081.2,1452.3
Q9NR30,Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5,462.4333191,64.24010217,52,310,49,49,1,783,87.29,9.28,FALSE,High,Master Protein,1052.725,5,4190.327578,64.24010217,52,310,21210.4,6412.2,7168.9,6810.7,7629.3,9140.5,11367.7,15935.8,37580.1,20520,2452.7
Q14676,Mediator of DNA damage checkpoint protein 1 OS=Homo sapiens OX=9606 GN=MDC1 PE=1 SV=3,454.668599,57.3958832,73,192,72,73,1,2089,226.529,5.47,FALSE,High,Master Protein,21.23,0,2244.575584,57.3958832,73,192,11046.9,4512.9,4321,3568.7,3160.6,2570.3,2231.8,1668.4,1524.5,1352.1,1229.5
Q14573,Inositol 1 4 5-trisphosphate receptor type 3 OS=Homo sapiens OX=9606 GN=ITPR3 PE=1 SV=2,451.1324011,39.16136279,97,181,85,85,1,2671,303.912,6.48,FALSE,High,Master Protein,7.873,11,2350.168791,39.16136279,97,181,1833.7,3340.1,5179.7,7792.2,10033.5,10391.2,8930.6,5219.5,2639.9,1687.2,1459.7
