Accession,Description,Sum_PEP_Score,Coverage,#Peptides,#PSMs,#Protein_Unique_Peptides,#Unique_Peptides,#Protein_Groups,#AAs,MW_kDa,calc_pI,Checked,Protein_FDR_Confidence,Master,emPAI,Razor_Peptides,Score_Mascot,Coverage_Mascot,#Peptides_Mascot,#PSMs_Mascot,TMT126,127N,127C,128N,128C,129N,129C,130N,130C,131N,131C
Q9UPN3,Microtubule-actin cross-linking factor 1  isoforms 1/2/3/5 OS=Homo sapiens OX=9606 GN=MACF1 PE=1 SV=4,1207.290551,39.52355171,263,407,247,247,1,7388,837.787,5.39,FALSE,High,Master Protein,4.346,12,6206.164544,39.52355171,263,407,6472.2,9605.6,11536.8,12983.4,11617.7,14121.4,14587.3,15779.7,16280.3,11304.4,4928.5
P35580,Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3,1050.208414,61.43724696,134,403,100,100,1,1976,228.858,5.54,FALSE,High,Master Protein,168.179,35,7485.715947,61.43724696,134,403,4298.9,12437.5,15159.4,15283.9,12589.5,11501.2,9089.6,7999.5,6342.3,34140.1,9393.8
Q09666,Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2,1002.553951,63.56536503,202,357,201,201,1,5890,628.699,6.15,FALSE,High,Master Protein,4.118,1,5624.651779,63.56536503,202,357,3722.3,11130.5,14975,17631.7,15981.6,14506.9,10239.6,6389.7,4221.9,3965.5,2274
Q9NU22,Midasin OS=Homo sapiens OX=9606 GN=MDN1 PE=1 SV=2,924.3862501,38.20586133,182,305,180,181,1,5596,632.42,5.68,FALSE,High,Master Protein,5.283,0,4879.974493,38.20586133,182,305,11406.5,3826.9,3972.7,4568.1,4757.1,7741,8907.2,12186.6,18689.3,11524.5,2114.9
Q14789,Golgin subfamily B member 1 OS=Homo sapiens OX=9606 GN=GOLGB1 PE=1 SV=2,831.9838637,57.90119669,174,289,165,166,1,3259,375.79,5,FALSE,High,Master Protein,10.053,6,4059.254672,57.90119669,174,289,3036.3,7393.5,14879.9,20269.7,8583,6783,5986,5621.3,6155.5,4488.6,2935.8
Q03001,Dystonin OS=Homo sapiens OX=9606 GN=DST PE=1 SV=4,726.6715101,27.71466314,191,270,175,175,1,7570,860.127,5.25,FALSE,High,Master Protein,1.988,3,2901.706534,27.71466314,191,270,4895.3,5211.5,5960,6769.4,6796.6,7166.8,6429.6,6347.9,7182.6,6562.6,3905.7
Q5T4S7,E3 ubiquitin-protein ligase UBR4 OS=Homo sapiens OX=9606 GN=UBR4 PE=1 SV=1,723.3581872,34.18869381,142,236,141,141,1,5183,573.476,6.04,FALSE,High,Master Protein,4.43,1,3994.599853,34.18869381,142,236,1771.6,1875.5,2153.9,2659.9,2644.6,3404.8,3161,4549.5,6417.6,34738.5,2930.9
P12270,Nucleoprotein TPR OS=Homo sapiens OX=9606 GN=TPR PE=1 SV=3,646.3267503,52.64494287,132,246,124,125,1,2363,267.131,5.02,FALSE,High,Master Protein,27.438,6,3304.462035,52.64494287,132,246,14341.7,5089,4116.2,4238.3,4351.4,6659.3,7902.7,9486.5,10946,9298,5200.8
P46939,Utrophin OS=Homo sapiens OX=9606 GN=UTRN PE=1 SV=2,630.4378999,45.84911156,138,211,131,132,1,3433,394.22,5.33,FALSE,High,Master Protein,6.241,6,3324.892137,45.84911156,138,211,2239.6,6914.4,9136.7,10240.9,9460.3,7342.9,4953.2,3613.6,3701.4,4252.4,2274.3
Q86UP2,Kinectin OS=Homo sapiens OX=9606 GN=KTN1 PE=1 SV=1,619.9800983,70.37582903,98,247,97,97,1,1357,156.179,5.64,FALSE,High,Master Protein,65.23,1,3470.219107,70.37582903,98,247,4240.4,6041.2,9525.5,17492.9,24489.7,17542.9,10000.7,4723.7,2809.4,2569.2,1480.8
